candidate_name,city_considered,reason_code,reason,counts_toward,confidence,evidence_url
Daniel Höller,Saarbrücken,E15,"Current FAI group page (Jörg Hoffmann's group) lists him under postdocs/PhD students, not as an independent PI; no Emmy Noether or junior-professorship evidence found.",,high,https://fai.cs.uni-saarland.de/people; https://fai.cs.uni-saarland.de/hoeller/
David Kaltenpoth,Saarbrücken,E15,"Group page states he is a postdoc in Vreeken's group. Genuine Saarbrücken position, not independent.",,high,https://vreeken.groups.cispa.de/people/david/; https://cispa.de/en/people/c01daka
Dongqi Liu 0001,Saarbrücken,E13,"Demberg lab's own news page confirms his PhD defense on May 29, 2026; he no longer appears in Saarland's current LST staff directory. Destination (DBLP suggests University of Amsterdam) unconfirmed.",,medium,https://www.uni-saarland.de/lehrstuhl/demberg/; https://aclanthology.org/people/d/dongqi-liu/
Fionn Mc Inerney,Saarbrücken,E08,"Homepage timeline: CISPA postdoc 2021-2023, then Aix-Marseille, TU Wien postdoc, now Senior Researcher at Telefónica Barcelona since Oct 2024. DBLP's CISPA listing is stale by ~3 years.","Barcelona, Spain",high,https://sites.google.com/view/fionn-mc-inerney/
Gaurav Sharma 0004,Saarbrücken,E13,"DBLP's MPII tag corresponds to a postdoc under Bernt Schiele c. 2012-2014, over a decade stale. Current primary post is industry (Typeface); the IIT Kanpur role is visiting-only, which this project excludes. No Saarbrücken tie found.",,high,http://grvsharma.com/
Golnoosh Shahkarami,Saarbrücken,E15,"Own MPI-INF profile: PhD under Kurt Mehlhorn, now a postdoc-level researcher in D1 (headed by Danupon Na Nongkai), jointly with Bremen. Not an independent PI with her own budget/group.",,high,https://www.mpi-inf.mpg.de/departments/algorithms-complexity/people/current-members/golnoosh-shahkarami
Guoxing Sun 0001,Saarbrücken,E15,"Currently a PhD Candidate per D6's official page and his own homepage, since Nov 2022. Not independent.",,high,https://people.mpi-inf.mpg.de/~gsun/; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Hanwei Zhang 0001,Saarbrücken,E15,"Own homepage/CV: postdoc since Nov 2023 at Hermanns' chair, working on trustworthy/explainable AI. Not independent.",,high,https://depend.cs.uni-saarland.de/~hzhang/; https://hanwei0912.github.io/cv/
Janis Kalofolias,Saarbrücken,E08,Absent from CISPA's entire people directory and from Vreeken's EDA group's current-member list as of Aug 2026 (checked directly). Strong evidence he has left Saarbrücken; destination could not be established.,unknown,medium,https://eda.rg.cispa.io/people/; https://dblp.org/pid/194/4254.html
Janis Keuper,Saarbrücken,E08,Confirmed current professor and IMLA director at Offenburg; no evidence of a current Saarland University appointment found -- DBLP's Saarland listing appears to be the stale/mismatched note.,Offenburg,medium,https://www.hs-offenburg.de/imla/
Jian Wang 0042,Saarbrücken,E13,"MPI-INF D6 alumni list: PhD graduated 2024 (thesis: Egocentric Motion Capture), now Research Scientist at Meta. DBLP's MPI-INF/CAS listing is stale; exact Meta office/city unconfirmed.",,medium,https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Jingyi Zhang 0002,Saarbrücken,E08,"DBLP's DFKI affiliation confirmed stale: her DFKI page 404s and she's absent from DFKI's current MLT staff roster. Google Scholar self-reports HPI Berlin, but HPI's own team page for de Melo's group lists her only as an alumna there too -- exact Aug 2026 whereabouts unconfirmed. Definitely left Saarbrücken.",Berlin,medium,https://hpi.de/en/de-melo/team.html; https://www.dfki.de/en/web/research/research-departments/multilinguality-and-language-technology/multilinguality-and-language-technology-staff-members
Joscha Cüppers,Saarbrücken,E15,"Defended PhD Sept 2025, now a postdoc in Vreeken's group per the group's current-members page. No independent budget/group.",,high,https://eda.rg.cispa.io/people/joscha/; https://cispa.de/en/people/c01jocu
Krishna P. Gummadi,Saarbrücken,E08,"Verified via direct fetch of official MPI-SWS directory: physical/mailing address ""Room 410, Building G 26, Campus Kaiserslautern."" Not Saarbrücken. No current Saarland University appointment found.",Kaiserslautern,high,https://www.mpi-sws.org/people/gummadi/
Kurt Mehlhorn,Saarbrücken,E15,"Director until his emeritierung (retirement) in 2019; ended his Saarland University professorship in 2025 after 50 years. Verified absent from D1's current department page (headed by Danupon Na Nongkai). Emeritus status is excluded from ""independent"" under this project's rules, though he nominally retains a presence in Saarbrücken.",,high,https://de.wikipedia.org/wiki/Kurt_Mehlhorn; https://people.mpi-inf.mpg.de/~mehlhorn/cv.html; https://www.mpi-inf.mpg.de/departments/algorithms-complexity
Mallikarjun B. R. 0001,Saarbrücken,E13,"Absent from MPI-INF's current VCAI roster in every category, including the alumni list; no working personal homepage located. Was always junior/PhD-level under Elgharib/Theobalt, never an independent PI, so independent=no regardless of current whereabouts. in_saarbruecken set to 'no' as best-evidence default (absent from every current MPI-INF roster category) though genuinely uncertain -- hence co",,low,https://dblp.uni-trier.de/pid/241/9493.html; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Maximilian Fickert,Saarbrücken,E13,"Current FAI group alumni page states ""Dr. Maximilian Fickert (now at Snowflake)."" Industry-only post; left Saarland academia.",,high,https://fai.cs.uni-saarland.de/people
Merel C. J. Scholman,Saarbrücken,E15,"Own Google Scholar profile self-lists dual affiliation ""Assistant Professor, Utrecht University; Researcher, Saarland University."" Utrecht staff page confirms the Assistant Professor post; old Saarland homepage now 404s. Primary, independent post has moved to Utrecht; the Saarbrücken tie is secondary and non-independent.",Utrecht,medium,https://scholar.google.com/citations?user=sx6EgnoAAAAJ; https://www.uu.nl/staff/MCJScholman
Mingjie Li 0007,Saarbrücken,E15,"CISPA's own people directory lists her under ""Postdoc,"" publishing with Yang Zhang/Michael Backes. Genuine Saarbrücken position but not independent.",,high,https://cispa.de/en/people/c01mili
Mohamed A. Elgharib,Saarbrücken,E08,"MPI-INF D6 alumni page (verified via direct fetch): ""Group Leader in VCAI Department (2018-2024), now AI Specialist at the ROSEN Group."" Left for industry; independent post ended 2024.","Lingen, Germany",high,https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Noshaba Cheema,Saarbrücken,E15,"Own homepage (last modified May 2025) confirms both roles as ongoing; D6 page lists her under ""Associated students."" Co-advised PhD student, not independent.",,high,https://people.mpi-inf.mpg.de/~ncheema/; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Osman Mian,Saarbrücken,E08,"Completed PhD 2024 at Saarland/CISPA (Jilles Vreeken's group), then left. Old CISPA profile now 404s; Scholar/LinkedIn show IKIM Essen as current employer.",Essen,high,https://scholar.google.com/citations?user=z6uIWDYAAAAJ; https://mml.ikim.nrw
Quynh Nguyen 0001,Saarbrücken,E08,"Own dated CV shows he left Saarland/MPI-INF after his 2019 PhD and an IMPRS fellowship ending 2014; bounced through a Leipzig MPI postdoc, DFKI, then Validaitor/KIT by Oct 2023. No evidence of any Saarbrücken position since, but a ~3-year evidence gap remains to Aug 2026.","Karlsruhe, Germany (as of Oct 2023)",medium,https://www.nicvn.com/medias/2023/09/Quynh-Nguyen-CV.pdf
Rui Wen 0002,Saarbrücken,E08,"Own homepage: ""I'm an Assistant Professor at the Institute of Science Tokyo. I recently completed my Ph.D. at CISPA, where I was supervised by Prof. Michael Backes and Dr. Yang Zhang."" DBLP's CISPA listing is stale.","Tokyo, Japan",high,https://wenruiustc.github.io/
Steffen Jung 0001,Saarbrücken,E15,MPI-INF D2 page lists him as PhD Student in Margret Keuper's Robust Visual Learning group (co-affiliated with her Mannheim group). Not independent.,,high,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/steffen-jung/
Sukrut Rao,Saarbrücken,E15,MPI-INF D2 page lists him as PhD Student in Bernt Schiele's group. Not independent.,,high,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/sukrut-rao/
Tobias Lorenz 0002,Saarbrücken,E15,"CISPA directory: PhD Student (St. Ingbert satellite site), co-authoring with Mario Fritz. Not independent.",,high,https://cispa.de/en/people/c02tolo; https://www.t-lorenz.com/
Xinyue Shen 0001,Saarbrücken,E15,CISPA directory lists her as PhD Candidate in the Yang Zhang/Michael Backes group. Not independent.,,high,https://cispa.de/en/people/c01xish
Yash Raj Sarrof,Saarbrücken,E15,"Own homepage: PhD student under Prof. Dr. Michael Hahn, Dept. of Language Science and Technology. Not independent.",,high,https://yashsarrof.com
Yifan Wang 0019,Saarbrücken,E15,Own homepage: co-supervised by Prof. Dr. Vera Demberg and Prof. Dr. Isabel Valera. Not independent.,,high,https://ewanwong.github.io/
Yihan Ma 0001,Saarbrücken,E15,CISPA directory confirms PhD Student in the Backes/Zhang cohort. Not independent.,,high,https://cispa.de/en/people/c01yima
Yuan Gao 0025,Saarbrücken,E15,"CISPA profile confirms PhD Student; own site states he is advised by Sebastian Stich, joined Sept 2023. Not independent.",,high,https://cispa.de/en/people/c01yuga
Yukun Jiang 0001,Saarbrücken,E15,"CISPA directory: PhD Student in Saarbrücken, Backes/Zhang group; DBLP's Sichuan University line likely reflects co-supervision. Not independent.",,high,https://cispa.de/en/people/c01yuji
Yulia Gryaditskaya,Saarbrücken,E08,"DBLP's MPI-INF note reflects only her 2012-2016 PhD there. Since then: Inria postdoc, Univ. of Surrey (Senior Research Fellow/Assistant Professor 2020-2024), Adobe Senior Research Scientist since Feb 2025.","London, United Kingdom",high,https://yulia.gryaditskaya.com
Zheng Li 0023,Saarbrücken,E08,"PhD/postdoc at CISPA through Dec 2024 (Yang Zhang's group), appointed Professor at Shandong University from Jan 2025. CISPA profile now 404s; DBLP is stale.","Qingdao, China",high,https://zhenglisec.github.io/
Ziqing Yang 0002,Saarbrücken,E15,CISPA directory confirms PhD Student in the Backes/Zhang group. Not independent.,,high,https://cispa.de/en/people/c01ziya
Alexander Badri-Sproewitz,Stuttgart,E08,"Was Max Planck Research Group Leader (Dynamic Locomotion Group) at MPI-IS Stuttgart from Oct 2016; no longer appears on the current MPI-IS people directory and the Dynamic Locomotion group no longer appears among current MPI-IS groups. DBLP's 'MPI-IS, Stuttgart' entry is stale.","Leuven, Belgium (KU Leuven)",high,https://www.mech.kuleuven.be/en/pma/research/robotics/people/00154092
Bernd Bohnet,Stuttgart,E08,DBLP's 'University of Stuttgart' entry appears stale; his old uni-stuttgart.de personal page is unreachable. No current university appointment found; industry-only post excludes him under the project's rules.,Google DeepMind (industry; specific office city not confirmed),medium,https://research.google/people/bernd-bohnet/
Christopher Jenkins,Stuttgart,E15,"DBLP suffix '0001' is a disambiguation artifact. His own institute bio states he is a PhD student on the SemChangeMWE project, supervised by Apl. Prof. Dr. Sabine Schulte im Walde -- not independent.",,high,https://www.ims.uni-stuttgart.de/en/institute/team/Jenkins/
Daniel Hennes,Stuttgart,E08,"DBLP still lists his old Stuttgart/DFKI-Bremen/ESA affiliations, never updated. Publication record (OpenSpiel, Stratego in Science 2022, TacticAI, 2025-26 multi-agent LLM work) matches DeepMind's program; a secondary LinkedIn-derived snippet (not independently confirmed) places him in Switzerland. No current Stuttgart academic listing found; industry-only excludes him.",Google DeepMind (reported Switzerland; not independently confirmed),medium,https://dblp.org/pid/50/4003
Duy M. H. Nguyen,Stuttgart,E15,"A May 2026 arXiv paper he co-authored still lists this IMPRS-IS/Uni Stuttgart affiliation, confirming he remains a PhD student, not independent. 'Max Planck Research School' names a doctoral graduate school.",,high,https://arxiv.org/abs/2601.15416
Felix Schmitt,Stuttgart,E08,"DBLP suffix '0001' is a disambiguation artifact. DBLP notes his PhD (2018) was at Karlsruhe, not Stuttgart -- a past credential, not a current post. ORCID employment record lists only Bosch GmbH Stuttgart, no university role. Industry-only excludes him under the project's rules.","n/a -- industry-only post, no academic appointment found",high,https://pub.orcid.org/v3.0/0000-0001-5451-8233/employments
Filip Miletic,Stuttgart,E15,"DBLP suffix '0002' is a disambiguation artifact, not part of his name. Postdoc since 2022 inside Sabine Schulte im Walde's group (project SemVarMWE), not an independent PI. University of Toulouse on DBLP refers to his completed PhD (2018-2022), not a current post.",,high,https://www.ims.uni-stuttgart.de/en/institute/team/Miletic/
Lei Shi,Stuttgart,E15,"DBLP suffix '0032' is a disambiguation artifact distinguishing him from many other 'Lei Shi' entries. Postdoc on 'Bayesian Intent Prediction for Human-Machine Collaboration' within SimTech; recent papers frequently co-authored with Andreas Bulling, the group's PI. The DBLP 'University of Antwerp' affiliation appears to be a prior/PhD-era post.",,high,https://www.simtech.uni-stuttgart.de/exc/people/Shi-00003/
Luiz F. O. Chamon,Stuttgart,E08,Was ELLIS-SimTech Independent Junior Research Group Leader at Stuttgart 2022-2024 (qualified as independent then too); left for Ecole Polytechnique Jan 2025. DBLP's 'University of Stuttgart' entry is stale.,"Paris, France (Ecole Polytechnique)",high,https://www.ki.uni-stuttgart.de/institute/news/Luiz-Chamon-joins-Ecole-Polytechnique-as-a-tenure-track-assistant-professor/
Marion Di Marco,Stuttgart,E08,Also publishes as Marion Weller-Di Marco / Marion Weller. No longer on the current University of Stuttgart IMS staff roster (65 members checked); her old IMS profile URL 404s. A Sept 2025 WMT paper's affiliation footer lists her at TUM/MCML alongside Fraser. Exact current title unconfirmed -- flagged for manual follow-up.,"Munich/Heilbronn, Germany (TUM, Alexander Fraser's group)",medium,https://aclanthology.org/2025.wmt-1.27.pdf
Mathias Buerger,Stuttgart,E08,"Earlier academic career (habilitation-era control theory work) at University of Stuttgart completed ~2013; absent from the current Institute for Systems Theory and Automatic Control staff page. Now industry-only at Bosch, which excludes him; title corroborated only by a secondary search snippet plus a 2025 patent grant record.","Renningen, Germany (Bosch BCAI; ~20 km from Stuttgart)",medium,https://www.patentleaderboard.com/robert-bosch-gmbh/mathias-buerger/72368
Volker Fischer,Stuttgart,E08,DBLP suffix '0003' is a disambiguation artifact. No honorary/adjunct professorship at University of Stuttgart or elsewhere found despite searching; PhD is from Regensburg. Industry-only excludes him under the project's rules even though BCAI (Renningen) is near Stuttgart.,"n/a -- industry-only post, no academic appointment found",medium,https://www.semanticscholar.org/author/47092548
Jason R. Rambach,Kaiserslautern,E15,"Borderline case. One of three formally-titled Deputy Heads under Director Stricker and leads one of six sub-teams (SSMP) within the department -- organizationally subordinate rather than department head or professor -- but also EU Horizon consortium coordinator and head of a cross-cutting competence center, which is substantial independent-leaning responsibility. Classified as not independent on b",,medium,https://jasonrambach.github.io/
Muhammad Zeshan Afzal,Kaiserslautern,E15,"Borderline case. No professor title (adjunct/apl.) could be verified from a primary source; RPTU's own teaching directory files him under 'AG Prof. Stricker.' He does head his own DFKI team (MLP) and the MindGarage lab, but organizationally sits inside Stricker's department as one of six team leads, so classified as not independent -- worth a manual second look.",,medium,https://scholar.google.com/citations?user=kHMVj6oAAAAJ
Ahmed Frikha 0002,München,E15,"DBLP profile shows PhD completed 2022 at LMU Munich (advised in Volker Tresp's group, per thesis title ""Deep knowledge transfer for generalization across tasks and domains under data scarcity"" and co-authorship pattern with Tresp/Krompass), followed by move to Huawei Munich Research Center as industry researcher (2023-2025 papers on LLM privacy/federated learning). Current post is industry-only — ",,high,https://dblp.uni-trier.de/pid/04/7448-2
Aleksandra Franz,München,E08,"DBLP lists a 2026 PhD dissertation at TUM. The Thuerey group's own site (ge.in.tum.de) lists her under ""Alumni and Collaborators – Former PhD candidate,"" indicating she has left the group, but no successor position (postdoc/industry) could be found within search budget. Even if still nominally in Munich, a just-finished PhD candidate would not count as independent.",unknown,low,https://ge.in.tum.de/about/
Alexander Gebhard 0001,München,E15,"Listed as ""Researcher"" (M.Sc.) on the TUM Chair of Health Informatics team page (Prof. Schuller's chair, based at Klinikum rechts der Isar in Munich). Consistent 2023–2026 co-authorship pattern with Schuller's group (both TUM and Augsburg papers). No own lab page, own funding, or own PhD students found — appears to be staff/doctoral researcher within Schuller's chair, not independent.",,medium,http://kiinformatik.mri.tum.de/en/hichair-health-informatics/chi-team
Andreas Triantafyllopoulos,München,E15,"Postdoctoral researcher since December 2023; PhD completed at University of Augsburg (2018-2022), not TUM. Working inside a chair, not independent.",,medium,https://html.duckduckgo.com/html/?q=%22Andreas+Triantafyllopoulos%22+TUM+OR+Augsburg+postdoc+OR+PhD
Axel von Arnim,München,E13,"fortiss is explicitly classified per project rules as an industry/applied-research institute, not an academic Munich institution, regardless of its physical Munich location. No evidence found of any university professorship or academic appointment for him elsewhere (only project-handover collaboration mentions with TUM/LMU). Role is departmental head at fortiss, industry-only.",,medium,https://www.fortiss.org/en/research/results/scientific-publications/author/axel-von-arnim
Bjoern Menze,München,E08,"recent papers place them elsewhere: His own TUM homepage now states 'Bjoern Menze moved to UZH' and forwards to the UZH/DQBM page, which confirms the full professorship there has run since September 2020 — a parallel appointment for years before becoming his sole primary post. TUM's Biomedical Image Computing chair page and TUM professor directory entry for him now 404, so no current first-party e","Zurich, Switzerland",high,https://www.dqbm.uzh.ch/en/research/menze.html
Bjoern W. Schuller,München,E08,"DBLP no longer lists any TUM affiliation. Only remaining Munich tie is co-founding audEERING GmbH, a TUM spin-off company (industry, does not count). TUM/MCML roster hits appear stale.","London, UK and Augsburg, Germany",high,https://en.wikipedia.org/wiki/Bj%C3%B6rn_Schuller; https://dblp.org/pid/54/4934
Dirk Wollherr,München,E15,"Confirmed via TUM LSR team roster/personal profile: senior researcher and lecturer since 2005, Privatdozent since 2013 (habilitation). Explicitly framed as staff within Buss's chair, not an independent group leader; no own lab, funding, or independent PhD supervision found. Research areas: mobile robotics/SLAM, HRI, autonomous vehicles.",,high,https://www.ce.cit.tum.de/lsr/team/dozenten/dirk-wollherr/
Dominik Klein 0005,München,E15,"Confirmed via official Theis Lab team page, which lists him as ""PhD candidate."" DBLP shows consistent co-authorship with lab head Fabian J. Theis since 2021 (ICLR 2024, NeurIPS 2024, single-cell genomics/optimal transport). Team page does not separate current members from alumni, but no indication he has left; not an independent PI.",,high,https://www.helmholtz-munich.de/en/icb/research-groups/theis-lab
Fan Wu 0015,München,E08,"Formerly postdoc at TUM's Munich Institute of Robotics and Machine Intelligence (MIRMI) and Chair of Robotics and Systems Intelligence (RSI) under Prof. Sami Haddadin; per his own website, joined Shanghai University as associate professor in September 2025. PhD from King's College London, not TUM.","Shanghai, China (Shanghai University)",medium,https://html.duckduckgo.com/html/?q=%22Fan+Wu%22+TUM+School+of+Computation+Information+Technology+PhD
Federico Tombari,München,E15,"Primary job is industry (Google), which does not count toward independence. Holds a Privatdozent/senior research scientist role inside Prof. Navab's CAMP group at TUM, not his own independent group. Matches roster note of MCML-only listing.",,medium,https://federicotombari.github.io/; https://www.cs.cit.tum.de/camp; https://dblp.org/pid/16/3539
Felix Krause 0002,München,E15,"DBLP pid 134/6471-2 confirmed as correct disambiguation (LMU Munich, formerly JKU Linz); 2025-2026 papers on diffusion models/generative AI (CVPR, ICCV, NeurIPS) match Ommer Lab's CompVis research focus. Official lab team page lists him as PhD Student, no own lab page/funding/students found, so not independent.",,high,https://ommer-lab.com/people/
Ganlin Zhang 0001,München,E15,"DBLP 0001 confirmed match (ORCID 0009-0001-6089-8225, TUM, SLAM/3D-vision topics). Personal homepage states 'PhD student in Computer Vision at TU Munich' under advisor Daniel Cremers; currently on a temporary Summer 2026 research internship at Google Zurich (not a permanent move) -- not an independent PI.",,high,https://ganlinzhang.xyz
Gerhard Rigoll,München,E15,"TUM's own faculty directory explicitly lists him as Professor emeritus; chair is now led on an interim basis by Prof. Werner Hemmert. Correctly excluded despite being geographically in Munich, since emeritus is an exclusion category.",,high,https://www.professoren.tum.de/en/rigoll-gerhard/; https://www.ce.cit.tum.de/en/mmk/home/
Hang Li 0010,München,E08,"Personal homepage states he completed a PhD in Computer Science at LMU Munich under Prof. Volker Tresp (affiliated with MCML and Siemens AG — matching DBLP's secondary Siemens listing) and an M.Sc. at TUM, and is now a Research Scientist at Meta AI in London working on generative AI. DBLP's LMU/Siemens affiliation reflects his PhD era and is stale; he is not listed on LMU DBS's current personnel p","London, United Kingdom",high,https://hangligit.github.io
Hans-Arno Jacobsen,München,E08,"recent papers place them elsewhere: TUM's own research portal lists TUM as 'Former affiliation' for him, and TUM's Chair of Decentralized Information Systems and Data Management now names a successor, Prof. Viktor Leis — an unambiguous departure signal. University of Toronto's ECE page and the Middleware Systems Research Group site both show him as an active, current professor and group director w","Toronto, Canada",high,https://www.ece.utoronto.ca/people/jacobsen-h-a/
