country,source_name,ror_query,coords_from,note
ch,ZHAW,ZHAW Zurich University of Applied Sciences,ch-university-of-zurich,"Winterthur campus, ~20 km from Zurich; anchored to the nearest resolved institution"
ch,University of St. Gallen,Universität St. Gallen,,
gr,Athena Research Center (Archimedes AI),Athena Research and Innovation Center,,ROR display name differs from the common short form
ro,University Politehnica of Bucharest,Politehnica University of Bucharest,,
pl,IPI PAN,Instytut Podstaw Informatyki Polskiej Akademii Nauk,pl-university-of-warsaw,"ROR identity unresolved (best match is ""Institute of Art""); city Warsaw is correct, coordinates anchored"
cz,UTIA Czech Academy of Sciences,Institute of Information Theory and Automation of the Czech Academy of Sciences,,
bg,INSAIT,INSAIT,bg-su,"Founded 2022; not in ROR. Anchored to Sofia University, its host campus"
de,TU Munich,Technische Universität München,,Bare 'TU Munich' matched EU Business School's Munich campus
at,JKU Linz,Johannes Kepler University Linz,,Matched Sigmund Freud Privatuniversität
pl,IPI PAN,Instytut Podstaw Informatyki Polskiej Akademii Nauk,pl-university-of-warsaw,"ROR identity unresolved (best match is ""Institute of Art""); city Warsaw is correct, coordinates anchored"
de,TU Kaiserslautern,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,,"Matched the Hochschule Kaiserslautern, a different institution in the same city"
de,University of Marburg,Philipps-Universität Marburg,,Matched Wismar University of Applied Sciences 450 km away
de,University of Mannheim,Universität Mannheim,,ROR identity unresolved (best match is the city government); city Mannheim is correct so the coordinate stands
de,Hertie Institute for AI in Brain Health,Hertie Institute for AI in Brain Health,de-university-of-t-bingen,"ROR matched a Munich record and dragged 2M residents into Tübingen's catchment; anchored to the university campus it sits on"
es,IIIA-CSIC,Artificial Intelligence Research Institute,,"Bellaterra is a locality inside Cerdanyola del Vallès, so the city-name mismatch is genuine and the ROR record is right"
