name,ruling,reason_code,tier,city_if_elsewhere,reason,evidence_confidence,evidence_url
Julia A. Schnabel,include,,T3,,Since 2021 her primary post is the joint TUM/Helmholtz Munich distinguished professorship. King's College London's own page confirms she 'retains a part-time appointment' there — explicitly secondary. DBLP's King's College London affiliation is outdated relative to her current primary role.,high,https://www.professoren.tum.de/en/schnabel-julia/; https://www.kcl.ac.uk/people/julia-a-schnabel
Julio Rogelio Guadarrama-Olvera,exclude,E15,,,"Official TUM ICS bio explicitly states he ""joined ICS as a postdoctoral researcher and leader of the humanoid robotics group"" within Prof. Gordon Cheng's chair — i.e., a sub-team lead inside someone else's chair (per project rules, this is EXCLUDE, not an independent PI: no evidence of own funding/own chair). Actively publishing through 2025 (Humanoids, IROS, journal articles), so current and in M",high,https://www.ce.cit.tum.de/en/ics/people/guadarrama/
Junjie Yang 0001,exclude,E15,,,Official TUM oral-examination record confirms his doctoral defense at TUM/Garching on 16 Dec 2025 under Navab and Nasseri; now a postdoc in the same lab. Listed only as 'Affiliated Scientist' (not core faculty) on the CAMP members page.,high,https://www.cs.cit.tum.de/camp/members/
Junnan Li 0008,exclude,E15,,,"Confirmed via official MIRMI Scientific Staff directory, listed as ""Research Associate,"" credential ""M.Sc."" (not yet a doctorate) — standard designation for a doctoral student in the German system. Specific supervising PI within MIRMI not identified. Clearly not an independent PI.",high,https://www.mirmi.tum.de/en/mirmi/people/scientific-staff/
Junwen Huang 0001,exclude,E15,,,"MCML tag on DBLP is the virtual centre, not his employer; real home is TUM CAMP under Prof. Navab (co-advised by Prof. Busam and PD Dr. Ilic). PhD student in someone else's group.",high,https://www.cs.cit.tum.de/en/camp/members/junwen-huang/
Kejia Chen 0005,exclude,E15,,,Confirmed on official TUM chair roster as Research Assistant (standard PhD-student designation in the German system) under Prof. Knoll; not independent.,high,https://www.ce.cit.tum.de/air/people/; https://dblp.org/pid/16/6178-5.html
Kun Yuan 0004,exclude,E15,,,"Joint PhD student (joined Nov 2023), listed only as 'Affiliated Scientist' on TUM CAMP's member page; primary base appears split between Strasbourg and Munich. Excluded as a PhD student regardless.",high,https://www.cs.cit.tum.de/camp/members/; https://dblp.org/pid/74/4607-4.html
Liqiu Meng,include,,T3,,"Active chair holder as of retrieval: TUM chair page lists her first with current contact details, current course listings (Introduction to Cartography, Topographic Cartography I/II), and publications continuing into 2026 (spatial crowdsourcing framework, GeoAI ethics). No emeritus/retired language found anywhere. Confirmed still active and independent, not stale.",high,https://www.asg.ed.tum.de/en/lfk/team/members/liqiu-meng/
Long Wen 0003,exclude,E15,,,"Still titled M.Sc. on TUM's own chair page (has not completed a doctorate), working under Prof. Knoll — a PhD student inside someone else's chair.",high,https://www.ce.cit.tum.de/en/air/people/long-wen-msc/
Marcel Binz,include,,T3,,"Deputy head of the institute constitutes an independent leadership role, not a position inside someone else's group.",high,https://marcelbinz.github.io/
Markus Rickert 0001,exclude,E08,,Bamberg,"DBLP's 'TU Munich' is stale, lagging 2024-2025 co-authored papers with Alois Knoll. ORCID 0000-0001-6264-0888 shows: TUM PhD/Research Assistant 2004-2010; fortiss Research/Deputy/Head of Robotics & ML 2010-2021; TUM Research Associate in Knoll's AIR chair 2021-2023; Full Professor at Uni Bamberg since Sept 2023. Corroborated by a Uni Bamberg WIAI events page listing his Antrittsvorlesung (inaugura",high,https://www.uni-bamberg.de/en/wiai/
Matthias Mueller 0011,exclude,E08,,"Sunnyvale, California, USA (Apple)",Left Intel Labs' Intelligent/Embodied AI Lab (Munich) in 2023 for Apple. No academic appointment found (industry-only); current location is not Munich either.,high,https://matthias.pw
Michael Schmidt 0015,exclude,E15,,,"Only affiliation on DBLP is BMW Group, Munich, with no secondary academic affiliation. Papers (2022-2025) co-authored with TUM professors (Nassir Navab, Federico Tombari, Alois Knoll) reflect standard BMW-TUM industry collaboration, not an academic post for Schmidt himself. Industry-only position — excluded per project rules regardless of Munich location. No personal homepage found.",medium,https://dblp.uni-trier.de/pid/48/3452-15
Michael Schmitt 0003,include,,T3,,Full professor (chair holder) since September 2021; clearly independent.,high,https://www.unibw.de/lrt9/lrt-9.3
Nan Yang 0007,exclude,E08,,unspecified (Meta Reality Labs Research; exact office city not stated in sources found),"DBLP pid 51/1629-7 confirmed via topic match (D3VO, MonoRec, TANDEM -- SLAM/visual odometry work from Daniel Cremers' TUM Computer Vision Group). TUM CVG alumni page lists him as departed PhD student (- 03/2022) to 'Facebook'. Personal site (updated July 2026) and Google Scholar (fb.com email) both currently show 'Research Scientist, Reality Labs Research' at Meta. No longer TUM/Munich-affiliated;",high,https://nan-yang.me
Nikolaus Demmel,exclude,E15,,,TUM CVG's own alumni table lists him as PhD student 'until 06/2022 ... went on to ... Apple.' Now an industry ML engineer at Apple's Munich office; industry-only excludes independence but he remains physically Munich-based.,high,https://cvg.cit.tum.de/members/demmeln; https://cvg.cit.tum.de/members
Patrick van der Smagt,exclude,E08,,"Budapest, Hungary (unsettled — see notes)","recent papers place them elsewhere: Genuinely unsettled case, flagged rather than resolved. ELTE's live staff directory is the only first-party page confirming a current, staffed post (named office, active email). No first-party evidence of an ongoing Volkswagen/Munich post could be found: his former VW lab domain argmax.ai now redirects to a bare, unbranded publications list with no VW branding, ",low,https://mi.inf.elte.hu/employees
Pengyuan Wang 0002,exclude,E13,,,"Disambiguated via ORCID 0000-0002-6444-1257 as the CV/robotics 'Wang 0002' (6D pose estimation, HouseCat6D, PhoCaL, DemoGrasp). TUM's own CAMP directory flags him inactive/departed; last DBLP paper 2024. Never independent (PhD student only). Google Scholar still shows stale TUM affiliation; a LinkedIn snippet hinted at 'Munich' but the profile was login-walled and unverifiable, so moved_to_city le",medium,https://www.cs.cit.tum.de/en/camp/members/pengyuan-wang/
Peter Kocsis 0001,exclude,E15,,,"DBLP's 4 papers are all co-authored with Matthias Nießner. Confirmed via the Nießner lab team page (listed under 'PhD Students') and his individual profile page (title 'Ph.D Candidate'). Still a doctoral student, not an independent PI.",high,https://niessnerlab.org/members/peter_kocsis/profile.html
Qing Cheng 0001,exclude,E15,,,"Confirmed via TUM CVG members page: currently an active PhD student, having previously worked ~4 years as a CV/AI engineer at Artisense GmbH (a TUM CVG spinoff) before starting his doctorate in 2023. Not independent; DBLP's Artisense affiliation reflects the prior employer, not the current post.",high,https://cvg.cit.tum.de/members/cheq
Rene Ranftl,exclude,E08,,Unclear exact city (Epic Games is a US company); Intel Labs Munich bio page now 404s,"DBLP's 'Intel Laboratory, Munich' is stale; Intel's own bio page for him now returns 404. Google Scholar lists a verified epicgames.com email. No current academic appointment found; industry-only excludes independence, and he no longer appears to be Munich-based.",medium,https://scholar.google.com/citations?user=cwKg158AAAAJ; https://theorg.com/org/epic-games/org-chart/rene-ranftl
Robert Müller 0005,exclude,E15,,,"DBLP affiliation confirmed as LMU Munich; 29 papers 2020-2025 in quantum computing/multi-agent RL, consistently co-authored with Prof. Claudia Linnhoff-Popien and her known PhD students (Michael Kölle, Jonas Stein, Thomy Phan), strongly indicating a doctoral/early-career researcher inside her group rather than an independent PI. Could not directly verify exact current title/status: the group's own",medium,https://dblp.uni-trier.de/pid/84/2636-5
Rudolph Triebel,exclude,E08,,"Karlsruhe, Germany (KIT)","TUM Computer Vision Group lists him as alumni (postdoctoral researcher 04/2013-06/2023), confirming departure. DLR Oberpfaffenhofen (~30km from Munich) is not one of the project's four designated Munich institutions, so even the DLR role would not count as Munich.",medium,https://cvg.cit.tum.de/members; https://www.dlr.de/en/rm/about-us/departments/perception-and-cognition
Rui Song 0007,exclude,E08,,"Los Angeles, USA (UCLA Mobility Lab)","Defended PhD summa cum laude at TUM Chair of Robotics, AI and Real-Time Systems in 2025; now a postdoc under Prof. Jiaqi Ma at UCLA. DBLP's Munich entry is stale.",high,https://cv4dt.github.io/author/dr-rui-song/
Ruilong Zhang 0001,exclude,E08,,"Dongguan, China (City University of Hong Kong, Dongguan)","DBLP's 'TUM Department of Mathematics' affiliation is outdated; his own homepage states he is now Assistant Professor at CityU (Dongguan). Field is optimization/algorithmic game theory, borderline core-AI but resolved per queue instructions; no longer in Munich.",high,https://ruilong-zhang.github.io/
Sami Haddadin,exclude,E08,,"Abu Dhabi, UAE (MBZUAI)",Formerly founding/executive director of TUM's MIRMI and Chair of Robotics and Systems Intelligence at TUM; left TUM circa Jan 2025 for MBZUAI (also VP for Research there). DBLP's TUM affiliation is stale.,high,https://en.wikipedia.org/wiki/Sami_Haddadin; https://mbzuai.ac.ae/study/faculty/sami-haddadin/
Sebastian Schmidt 0006,exclude,E15,,,"Dual TUM/BMW role, both Munich-based. Works inside Prof. Stephan Guennemann's DAML group, not his own PI line — not independent.",medium,https://www.basti-schmidt.eu/; https://www.cs.cit.tum.de/en/daml/team/schmidt/
Shuo Chen 0014,exclude,E15,,,"DBLP 0014 confirmed match (ORCID 0000-0001-7305-3793, LMU Munich, ML/safety-alignment topics). Personal site schen.app: 'Ph.D. Candidate - LMU Munich / Siemens', enrolled since 2023 in Tresp's group, no own lab/funding found -- not an independent PI.",high,http://schen.app/
Simon Burton 0001,exclude,E15,,,"DBLP confirms Fraunhofer IKS Munich affiliation with active publications through 2026 (safety assurance for AI/autonomous systems). Could not access Fraunhofer IKS staff/team pages this session (repeated 404s) to confirm his exact verbatim title. No evidence found of a university chair or professorship. Per project rule DE, a Fraunhofer department/research-area head without a university chair or d",low,https://dblp.uni-trier.de/pid/84/4020-1
Simon Weber 0002,exclude,E08,,"Oxford, UK (University of Oxford)","His own TUM CVG alumni page states: 'Until November 2025, I was a PhD candidate at TUM' and 'I am now a research associate at the University of Oxford, in Ronald Clark's PIXL lab.' DBLP's Munich listing is now outdated.",high,https://cvg.cit.tum.de/members/webersi
Slobodan Ilic,exclude,E15,,,"Primary employer is Siemens (industry), Munich-based, since 2014. TUM CAMP page lists him only under Affiliated Scientists, not core/independent faculty, so this does not count as an independent Munich post though he remains physically in Munich.",medium,https://www.cs.cit.tum.de/camp/members/
Stefan Andreas Baumann,exclude,E15,,,CompVis/Ommer-Lab page explicitly lists him as PhD Student with office/phone; active 2026 preprints under Ommer's group confirm currency.,high,https://ommer-lab.com/people/; https://dblp.org/pid/367/3849
Steffen Schneider 0001,include,,T3,,Named Helmholtz Munich 'Early Career Scientist of the Year 2024' and explicitly titled Principal Investigator / head of his own lab. DBLP's University of Tuebingen affiliation is stale (earlier career stage); Helmholtz Munich/MCML roster hits are correct and current.,high,https://www.helmholtz-munich.de/en/newsroom/news-all/artikel/dr-steffen-schneider-named-early-career-scientist-of-the-year-2024; https://dynamical-inference.ai
Suvrit Sra,include,,T3,,Moved from MIT to TUM as a professor. DBLP's MIT affiliation is stale; the TUM+MCML roster hits are correct and current.,high,https://www.professoren.tum.de/en/sra-suvrit
Tassilo Klein,exclude,E08,,Berlin,"His personal site verbatim lists PhD (2012) from TU Munich only as a past credential, not a current post. Current DBLP papers (2025-2026: SALT-KG, Contrastive Perplexity, tabular foundation models) match enterprise-AI work at SAP, not TUM. Industry role, not academic; Berlin location corroborated by GitHub bio and TheOrg.com but not a primary SAP source, hence medium confidence on exact city.",medium,https://tjklein.github.io
Thomas Decker 0004,exclude,E15,,,"DBLP lists dual affiliation ""Siemens AG, Munich"" + ""LMU Munich""; all papers 2023-2026 co-authored with Volker Tresp (LMU professor) and/or Florian Buettner, consistent with an industry-based (Siemens-employed) doctoral student supervised academically at LMU. No personal homepage found to confirm exact title or PhD completion status. Primary employer is industry (Siemens); academic tie is doctoral ",medium,https://dblp.uni-trier.de/pid/351/4532
Tim C. Lueth,include,,T3,,Active chair holder since 2005; no emeritus indication on the central TUM professor directory or the MIMED chair page; former Dean/Vice-Dean of Mechanical Engineering.,high,https://www.professoren.tum.de/lueth-tim-c/; https://www.mec.ed.tum.de/en/mimed/structure/team-members/tim-c-lueth/
Tong Liu 0019,exclude,E15,,,"Disambiguated as DBLP pid 36/5558-19 via topic match (AI/ML papers at ACL/EMNLP co-authored with Volker Tresp and Jindong Gu), distinct from ~40 other 'Tong Liu' DBLP entries. LMU's DBS/Multimodal and Agentic AI group directory lists him as 'Research Assistant' (doctoral researcher) under Prof. Tresp's chair. MCML affiliation correctly treated as non-employer per project rules; substantive post is",high,https://www.ifi.lmu.de/dbs/en/persons/contact-page/tong-liu-4b539aba.html
Uwe Stilla,exclude,E13,,,"TUM School of Engineering obituary confirms he led the Chair of Photogrammetry and Remote Sensing from 2004 until retiring in March 2023, and died on 10 May 2023 at age 66 after a prolonged illness. DBLP's plain ""Technical University Munich"" affiliation is several years stale and does not reflect his retirement/death. Clearly not a current position holder.",high,https://www.asg.ed.tum.de/en/pf/obituary-stilla/
Virginia Estellers,exclude,E08,,unknown (industry - Microsoft; exact office city unconfirmed),"DBLP's ""TU Munich"" tag reflects a past postdoc in the TUM Computer Vision Group (Prof. Daniel Cremers, Informatics 9); earlier stints at EPFL and UCLA Vision Lab are even older. Google Scholar profile now lists Microsoft as her affiliation; a LinkedIn snippet says ""Applied scientist at Microsoft CMD Lab""; TUM CVG's members page does not list her among current members and points to her personal sit",medium,https://scholar.google.com/citations?user=MR3fFXoAAAAJ&hl=en
Wei Zhang 0334,exclude,E08,,"Stuttgart, Germany","His personal homepage states he was a ""PhD Researcher at Huawei Munich Research Center (2020–2024)"" (past tense) and has been a Research Associate/PhD candidate at Stuttgart's Institute for Photogrammetry since 2024. DBLP's Huawei-Munich-first-listed affiliation is stale; his Huawei Munich role has ended and he is not independent.",high,https://willyzw.github.io/
Xiao Xu 0001,exclude,E15,,,"Disambiguated via dblp.org pid 64/4216-1 (ORCID 0000-0002-4375-3884), affiliation 'Technical University of Munich, Chair of Media Technology, Germany'; paper topics (haptics/teleoperation, visual-inertial odometry, depth estimation) match this person, ruling out other Xiao Xu profiles (0002 Edinburgh, 0003/0004 China). PhD (TUM) 2017, joined LMT as staff in 2011, currently listed on official LMT t",high,https://www.ce.cit.tum.de/en/lmt/team/
Xin Jing 0001,exclude,E15,,,"Confirmed via dblp.org disambiguation page as 'Xin Jing 0001' (pid/03/11308-1, ORCID 0000-0002-8803-9414), the only one of 12 same-name DBLP entries with TUM Chair of Health Informatics; affective-computing/speech-emotion papers match. DBLP lists dual affiliation (TUM + Univ. Augsburg EIHW, Schuller's former chair). ORCID and Google Scholar (verified tum.de email) show only TUM with no end date, s",medium,https://orcid.org/0000-0002-8803-9414
Xin Sun 0003,exclude,E08,,"Weihai/Harbin, China (Harbin Institute of Technology)","TUM's Chair of Data Science in Earth Observation (SiPEO/AI4EO Future Lab) lists 'Dr. Xin Sun' under alumni (former Humboldt Fellow), confirming he has left Munich. DBLP's TUM affiliation is stale; OpenReview points to a return to Harbin Institute of Technology as Associate Professor. Xin Sun is a common name, so some identity uncertainty remains.",medium,https://www.asg.ed.tum.de/en/sipeo/team/; https://openreview.net/profile?id=~Xin_Sun17
Xinpeng Wang 0003,exclude,E08,,"New York City, USA","DBLP 0003 profile confirmed as the LMU Munich match (topics: refusal-direction ablation, LLM safety, opinion/attitude evaluation in LLMs). MaiNLP lab page (LMU CIS, Barbara Plank's group) lists him under 'alumni': PhD student 2022-2026, now NYU CDS Faculty Fellow. His own homepage corroborates final-year PhD at LMU / incoming Faculty Fellow at NYU CDS. Faculty Fellow is a pre-tenure-track fellowsh",high,https://xinpeng-wang.github.io/
Yan Xia 0003,exclude,E15,,,"TUM CVG page lists him as a current postdoctoral researcher (PhD from TUM, 2023). Google Scholar affiliation string reads USTC | TUM | VGG Oxford; could not confirm if a professor-track title elsewhere is now primary, so used the directly-confirmed current TUM postdoc role.",medium,https://cvg.cit.tum.de/members; https://scholar.google.com/citations?user=xkBn4mMAAAAJ&hl=en
Yanyan Li 0001,exclude,E08,,"Guangzhou, China (HKUST(GZ))",Now also publishes as 'Yan Li'; her own homepage states she obtained her PhD at TUM and has since become an independent PI at HKUST(GZ); no longer in Munich.,high,https://yanyan-li.github.io/; https://yanyan-li.github.io/about_me
Yi Wang 0072,exclude,E15,,,"Confirmed correct DBLP profile (pid 17/221-72, EO/remote-sensing foundation-model papers: Panopticon, Copernicus-FM, GeoLangBind, SpectralEarth, EO-VAE) matching TUM Data Science in Earth Observation + DLR affiliation and topics; a Feb/Mar 2026 arXiv footnote still lists 'TUM, MCML, Munich' for him. Not independent: co-author (not senior author) under group head Xiao Xiang Zhu on every recent pape",medium,https://arxiv.org/abs/2602.12177
Yihong Liu 0001,exclude,E15,,,"Completed PhD at LMU (started Sept 2022); now a postdoctoral researcher at CIS. MCML listing on DBLP reflects the virtual centre, not a separate employer.",medium,https://yihongl1u.github.io/
Yu Zhang 0182,exclude,E15,,,"Listed under 'Research Staff (external),' not the core Research Assistants category, on Knoll's chair roster, suggesting a joint/visiting arrangement with a primary post elsewhere that could not be confirmed.",medium,https://www.ce.cit.tum.de/air/people/; https://dblp.org/pid/50/671-182.html
Yuhong Huang,exclude,E15,,,Confirmed on TUM chair roster with tum.de email; current M.Eng.-level research assistant under Knoll; not independent.,high,https://www.ce.cit.tum.de/air/people/; https://dblp.org/pid/173/3434
Yuning Cui 0001,exclude,E15,,,"Could not locate a personal homepage or TUM chair listing confirming exact role; not found on TUM's Computer Vision Group page or any institution directory. Co-affiliation with National University of Defense Technology (China) on DBLP suggests a joint PhD/postdoc rather than an independent PI, but this is inferred from pattern, not directly confirmed. Low confidence per contract rather than a miss",low,https://dblp.org/search/author/api?q=Yuning%20Cui&format=json
Yvain Quéau,exclude,E08,,"Caen, France","DBLP's ""TU Munich"" affiliation reflects a past postdoc in Daniel Cremers' group at TUM. He later was associate professor at LabISEN Brest, and per his personal homepage is now a permanent CNRS research scientist at GREYC in Caen. DBLP record is stale.",high,http://yqueau.github.io
