name,ruling,reason_code,tier,city_if_elsewhere,reason,evidence_confidence,evidence_url
Kurt Mehlhorn,exclude,E15,,,"Director until his emeritierung (retirement) in 2019; ended his Saarland University professorship in 2025 after 50 years. Verified absent from D1's current department page (headed by Danupon Na Nongkai). Emeritus status is excluded from ""independent"" under this project's rules, though he nominally retains a presence in Saarbrücken.",high,https://de.wikipedia.org/wiki/Kurt_Mehlhorn; https://people.mpi-inf.mpg.de/~mehlhorn/cv.html; https://www.mpi-inf.mpg.de/departments/algorithms-complexity
Mallikarjun B. R. 0001,exclude,E13,,,"Absent from MPI-INF's current VCAI roster in every category, including the alumni list; no working personal homepage located. Was always junior/PhD-level under Elgharib/Theobalt, never an independent PI, so independent=no regardless of current whereabouts. in_saarbruecken set to 'no' as best-evidence default (absent from every current MPI-INF roster category) though genuinely uncertain -- hence co",low,https://dblp.uni-trier.de/pid/241/9493.html; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Margret Keuper,include,,T3,"University of Mannheim, Data and Web Science Group","Own Mannheim bio (verified via direct fetch): joined Mannheim Oct 2023 as Professor; ""Since Nov 2021, I am also affiliated with the Max-Planck-Institute for Informatics in Saarbrücken."" Also ELLIS Unit Saarbrücken member since 2024. Primary post is Mannheim; secondary MPI-INF tie is independent (own group).",high,https://www.uni-mannheim.de/dws/people/professors/prof-dr-ing-margret-keuper/; https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/margret-keuper/
Maximilian Fickert,exclude,E13,,,"Current FAI group alumni page states ""Dr. Maximilian Fickert (now at Snowflake)."" Industry-only post; left Saarland academia.",high,https://fai.cs.uni-saarland.de/people
Merel C. J. Scholman,exclude,E15,,Utrecht,"Own Google Scholar profile self-lists dual affiliation ""Assistant Professor, Utrecht University; Researcher, Saarland University."" Utrecht staff page confirms the Assistant Professor post; old Saarland homepage now 404s. Primary, independent post has moved to Utrecht; the Saarbrücken tie is secondary and non-independent.",medium,https://scholar.google.com/citations?user=sx6EgnoAAAAJ; https://www.uu.nl/staff/MCJScholman
Mingjie Li 0007,exclude,E15,,,"CISPA's own people directory lists her under ""Postdoc,"" publishing with Yang Zhang/Michael Backes. Genuine Saarbrücken position but not independent.",high,https://cispa.de/en/people/c01mili
Mohamed A. Elgharib,exclude,E08,,"Lingen, Germany","MPI-INF D6 alumni page (verified via direct fetch): ""Group Leader in VCAI Department (2018-2024), now AI Specialist at the ROSEN Group."" Left for industry; independent post ended 2024.",high,https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Noshaba Cheema,exclude,E15,,,"Own homepage (last modified May 2025) confirms both roles as ongoing; D6 page lists her under ""Associated students."" Co-advised PhD student, not independent.",high,https://people.mpi-inf.mpg.de/~ncheema/; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Osman Mian,exclude,E08,,Essen,"Completed PhD 2024 at Saarland/CISPA (Jilles Vreeken's group), then left. Old CISPA profile now 404s; Scholar/LinkedIn show IKIM Essen as current employer.",high,https://scholar.google.com/citations?user=z6uIWDYAAAAJ; https://mml.ikim.nrw
Quynh Nguyen 0001,exclude,E08,,"Karlsruhe, Germany (as of Oct 2023)","Own dated CV shows he left Saarland/MPI-INF after his 2019 PhD and an IMPRS fellowship ending 2014; bounced through a Leipzig MPI postdoc, DFKI, then Validaitor/KIT by Oct 2023. No evidence of any Saarbrücken position since, but a ~3-year evidence gap remains to Aug 2026.",medium,https://www.nicvn.com/medias/2023/09/Quynh-Nguyen-CV.pdf
Rui Wen 0002,exclude,E08,,"Tokyo, Japan","Own homepage: ""I'm an Assistant Professor at the Institute of Science Tokyo. I recently completed my Ph.D. at CISPA, where I was supervised by Prof. Michael Backes and Dr. Yang Zhang."" DBLP's CISPA listing is stale.",high,https://wenruiustc.github.io/
Steffen Jung 0001,exclude,E15,,,MPI-INF D2 page lists him as PhD Student in Margret Keuper's Robust Visual Learning group (co-affiliated with her Mannheim group). Not independent.,high,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/steffen-jung/
Sukrut Rao,exclude,E15,,,MPI-INF D2 page lists him as PhD Student in Bernt Schiele's group. Not independent.,high,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/sukrut-rao/
Tania Avgustinova,include,,T3,,"Listed as active on the department's current professor roster holding an ""außerplanmäßige Professur"" (apl. Prof) -- a permanent, habilitated professorial title without a dedicated chair. Counted independent under ""professor of any rank""; flagged since this title sits between full chair and Privatdozent.",medium,https://www.uni-saarland.de/fachrichtung/lst/personen/professorinnen.html; https://www.coli.uni-saarland.de/~tania/
Tobias Lorenz 0002,exclude,E15,,,"CISPA directory: PhD Student (St. Ingbert satellite site), co-authoring with Mario Fritz. Not independent.",high,https://cispa.de/en/people/c02tolo; https://www.t-lorenz.com/
Xinyue Shen 0001,exclude,E15,,,CISPA directory lists her as PhD Candidate in the Yang Zhang/Michael Backes group. Not independent.,high,https://cispa.de/en/people/c01xish
Yash Raj Sarrof,exclude,E15,,,"Own homepage: PhD student under Prof. Dr. Michael Hahn, Dept. of Language Science and Technology. Not independent.",high,https://yashsarrof.com
Yifan Wang 0019,exclude,E15,,,Own homepage: co-supervised by Prof. Dr. Vera Demberg and Prof. Dr. Isabel Valera. Not independent.,high,https://ewanwong.github.io/
Yihan Ma 0001,exclude,E15,,,CISPA directory confirms PhD Student in the Backes/Zhang cohort. Not independent.,high,https://cispa.de/en/people/c01yima
Yuan Gao 0025,exclude,E15,,,"CISPA profile confirms PhD Student; own site states he is advised by Sebastian Stich, joined Sept 2023. Not independent.",high,https://cispa.de/en/people/c01yuga
Yukun Jiang 0001,exclude,E15,,,"CISPA directory: PhD Student in Saarbrücken, Backes/Zhang group; DBLP's Sichuan University line likely reflects co-supervision. Not independent.",high,https://cispa.de/en/people/c01yuji
Yulia Gryaditskaya,exclude,E08,,"London, United Kingdom","DBLP's MPI-INF note reflects only her 2012-2016 PhD there. Since then: Inria postdoc, Univ. of Surrey (Senior Research Fellow/Assistant Professor 2020-2024), Adobe Senior Research Scientist since Feb 2025.",high,https://yulia.gryaditskaya.com
Zheng Li 0023,exclude,E08,,"Qingdao, China","PhD/postdoc at CISPA through Dec 2024 (Yang Zhang's group), appointed Professor at Shandong University from Jan 2025. CISPA profile now 404s; DBLP is stale.",high,https://zhenglisec.github.io/
Ziqing Yang 0002,exclude,E15,,,CISPA directory confirms PhD Student in the Backes/Zhang group. Not independent.,high,https://cispa.de/en/people/c01ziya
